"Time","__log__grafana_internal__","__logstream__grafana_internal__","@message"
2026-09-11 15:22:10.304,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]defa886cbbf64c68ae77ab808bee10f4,"{""message"":""placetopay_event"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""type"":""checkout.session.created"",""data"":{""session_id"":3858628,""site_id"":15204},""aws_request_id"":""fc1ab831-797c-45ee-a6e6-b3b87fb01d8a""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:10.298383-05:00"",""extra"":{""tenantId"":50}}
"
2026-09-11 15:22:13.346,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]cb49e5192ceb402ba9467ac6ebfe9caa,"{""message"":""placetopay_event"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""type"":""checkout.session.entry"",""data"":{""session_id"":3858628,""site_id"":15204},""aws_request_id"":""7c37ba4e-0335-415b-945e-d9ee8e438ff6""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:13.311845-05:00"",""extra"":{""tenantId"":50}}
"
2026-09-11 15:22:13.346,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]cb49e5192ceb402ba9467ac6ebfe9caa,"{""message"":""Request trace GET /spa/session/3858628/5b53023d8cdb6752c03606e126954754"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""action_method"":""entry"",""body"":[],""aws_request_id"":""7c37ba4e-0335-415b-945e-d9ee8e438ff6""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:13.276407-05:00"",""extra"":{""tenantId"":50}}
"
2026-09-11 15:22:15.047,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]defa886cbbf64c68ae77ab808bee10f4,"{""message"":""Request trace GET /api/v4/session/3858628/5b53023d8cdb6752c03606e126954754"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""action_method"":""show"",""body"":[],""aws_request_id"":""8ebdfdd9-3d31-4536-ad70-601c334a8561""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:14.940141-05:00"",""extra"":{""tenantId"":50}}
"
2026-09-11 15:22:22.219,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]cb49e5192ceb402ba9467ac6ebfe9caa,"{""message"":""Request trace POST /api/v4/session/3858628/5b53023d8cdb6752c03606e126954754/information"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""action_method"":""index"",""body"":{""gateway"":""diners""},""aws_request_id"":""76944657-92d2-402d-a41a-4c06a9dcfa90""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:21.363209-05:00"",""extra"":{""tenantId"":50}}
"
2026-09-11 15:22:22.219,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]cb49e5192ceb402ba9467ac6ebfe9caa,"{""message"":""[GW_LIB] HTTP Res"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""response"":{""url"":""https://api-test.placetopay.com/rest/gateway/information"",""body"":{""status"":{""status"":""OK"",""reason"":""00"",""message"":""The request has been successfully processed"",""date"":""2026-09-11T15:22:22-05:00""},""provider"":""PAYSTUDIO"",""serviceCode"":""PS_VS"",""requireCvv2"":true,""displayInterest"":false,""requireOtp"":false,""threeDS"":""unsupported"",""cardType"":""C"",""cardTypes"":[""C"",""R"",""A""],""credits"":[],""hasForwarding"":false},""status_code"":200,""headers"":{""date"":[""Fri, 11 Sep 2026 20:22:22 GMT""],""content-type"":[""application/json""]},""version"":""HTTP/1.1"",""message"":""OK""},""aws_request_id"":""76944657-92d2-402d-a41a-4c06a9dcfa90""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:22.148831-05:00"",""extra"":{""tenantId"":50}}
"
2026-09-11 15:22:22.219,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]cb49e5192ceb402ba9467ac6ebfe9caa,"{""message"":""[GW_LIB] HTTP Req"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""request"":{""url"":""https://api-test.placetopay.com/rest/gateway/information"",""body"":{""auth"":{""login"":""0123456789abcdef0123456789abcdef"",""tranKey"":""****"",""nonce"":""NTJhNzI0ZjBiNWZmMjlmZjI2MmUyZGEyMGM1ZTYxNzI="",""seed"":""2026-09-11T15:22:21-05:00"",""additional"":null},""instrument"":{""card"":{""number"":""411111******1111"",""expiration"":null,""cvv"":null,""installments"":null,""kind"":null,""address"":null}},""locale"":""en_EN"",""payment"":{""reference"":""REF-097375"",""description"":""Testing Payment"",""amount"":{""currency"":""COP"",""total"":11000},""allowPartial"":false,""subscribe"":false},""subscription"":null,""payer"":{""document"":""****"",""documentType"":""CC"",""name"":""andrex"",""surname"":""tor"",""email"":""****"",""mobile"":""****""},""buyer"":null,""ipAddress"":""186.86.52.14"",""userAgent"":""Mozilla/5.0"",""provider"":null,""metadata"":{""preferredPaymentMethodIndex"":null}},""method"":""POST"",""headers"":{""User-Agent"":[""Checkout Client""],""Content-Type"":[""application/json""],""Host"":[""api-test.placetopay.com""],""X-Source-Platform"":[""checkout""]},""version"":""HTTP/1.1""},""aws_request_id"":""76944657-92d2-402d-a41a-4c06a9dcfa90""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:22.148378-05:00"",""extra"":{""tenantId"":50}}
"
2026-09-11 15:22:25.822,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]cb49e5192ceb402ba9467ac6ebfe9caa,"{""message"":""[GW_LIB] HTTP Req"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""request"":{""url"":""https://api-test.placetopay.com/rest/gateway/process"",""body"":{""auth"":{""login"":""0123456789abcdef0123456789abcdef"",""tranKey"":""****"",""nonce"":""Y2FhNzAxZDU5MWI1YTY0ZTk4M2ZkZGRjMzk0NDc5ZTQ="",""seed"":""2026-09-11T15:22:24-05:00"",""additional"":null},""locale"":""en_EN"",""payment"":{""reference"":""REF-097375"",""description"":""Testing Payment"",""amount"":{""currency"":""COP"",""total"":11000},""allowPartial"":false,""subscribe"":false},""ipAddress"":""186.86.52.14"",""userAgent"":""Mozilla/5.0"",""fingerprint"":""8b873558ace27c516a38f27ad6e51312"",""additional"":{""_processUrl_"":""https://checkout-test.placetopay.com/spa/session/3858628/5b53023d8cdb6752c03606e126954754"",""_session_"":3858628,""_wcTransactionId_"":3035122,""returnUrl"":""https://p2p-apis.pages.dev/apis/checkout""},""notificationURL"":""https://checkout-test.placetopay.com/api/notify"",""metadata"":{""requiresConfirmation"":false},""instrument"":{""card"":{""number"":""411111******1111"",""expiration"":""****"",""cvv"":""****"",""installments"":null,""kind"":null,""address"":null}},""buyer"":{""document"":""****"",""documentType"":""CC"",""name"":""andrex"",""surname"":""tor"",""email"":""****"",""mobile"":""****""},""payer"":{""document"":""****"",""documentType"":""CC"",""name"":""andrex"",""surname"":""tor"",""email"":""****"",""mobile"":""****""}},""method"":""POST"",""headers"":{""User-Agent"":[""Checkout Client""],""Content-Type"":[""application/json""],""Host"":[""api-test.placetopay.com""],""X-Source-Platform"":[""checkout""]},""version"":""HTTP/1.1""},""aws_request_id"":""54443e55-68e6-413e-80df-a919c7a443a5""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:25.710497-05:00"",""extra"":{""tenantId"":50}}
"
2026-09-11 15:22:25.822,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]cb49e5192ceb402ba9467ac6ebfe9caa,"{""message"":""Update session state trace: Updating"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""transaction_id"":3035122,""placetopay_id"":null,""new_state"":""finished"",""aws_request_id"":""54443e55-68e6-413e-80df-a919c7a443a5""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:25.736350-05:00"",""extra"":{""tenantId"":50}}
"
2026-09-11 15:22:25.822,583550948756:/aws/lambda/vapor-webcheckout-test-d,2026/09/11/[873]cb49e5192ceb402ba9467ac6ebfe9caa,"{""message"":""Update transaction trace: Information fetched"",""context"":{""TENANT_DOMAIN"":""checkout-test.placetopay.com"",""session_id"":3858628,""transaction_id"":3035122,""placetopay_id"":null,""aws_request_id"":""54443e55-68e6-413e-80df-a919c7a443a5""},""level"":200,""level_name"":""INFO"",""channel"":""test"",""datetime"":""2026-09-11T15:22:25.716306-05:00"",""extra"":{""tenantId"":50}}
"
